date,total_quantity
2016-02-01,1800.00
2016-03-01,1651.00
2016-03-01,2150.00
2016-04-01,1800.00
2016-04-01,526.00
2016-05-01,1127.00
2016-06-01,758.00
2016-06-01,588.00
2016-08-01,985.00
2016-08-01,896.00
2016-10-01,1177.00
2016-10-01,946.00
2016-12-01,1003.00
2016-12-01,1367.00
2016-12-01,1376.00
2017-01-01,90.00
2017-01-01,1924.00
2017-03-01,1883.00
2017-04-01,788.00
2017-04-01,1038.00
2017-05-01,502.00
2017-05-01,711.00
2017-06-01,585.00
2017-06-01,725.00
2017-07-01,9926.00
2017-07-01,840.00
2017-08-01,1002.00
2017-09-01,840.00
2017-09-01,4966.00
2017-10-01,1000.00
2017-11-01,1062.00
2017-12-01,1405.00
2018-01-01,1540.00
2018-02-01,88.00
2018-03-01,1400.00
2018-04-01,1283.00
2018-05-01,540.00
2018-06-01,682.00
2018-06-01,630.00
2018-07-01,732.00
2018-08-01,1148.00
2018-08-01,1165.00
2018-09-01,1225.00
2018-10-01,851.00
2018-11-01,838.00
2018-11-01,896.00
2018-12-01,1282.00
2019-01-01,714.00
2019-02-01,100.00
2019-02-01,1355.00
2019-03-01,1608.00
2019-04-01,760.00
2019-04-01,1312.00
2019-05-01,542.00
2019-05-01,796.00
2019-06-01,595.00
2019-07-01,615.00
2019-07-01,588.00
2019-07-01,443.00
2019-09-01,737.00
2019-09-01,566.00
2019-10-01,513.00
2019-10-01,649.00
2019-11-01,845.00
2019-12-01,703.00
2020-01-01,912.00
2020-02-01,1154.00
2020-03-01,850.00
2020-06-01,812.00
2020-07-01,743.00
2020-07-01,630.00
2020-08-01,994.00
2020-09-01,931.00
2020-09-01,744.00
2020-10-01,840.00
2020-11-01,1163.00
2020-11-01,868.00
2020-11-01,400.00
2020-12-01,915.00
2020-12-01,850.00
2021-01-01,564.00
2021-02-01,1120.00
2021-02-01,1210.00
2021-05-01,565.00
2021-05-01,1100.00
2021-06-01,361.00
2021-07-01,451.00
2021-07-01,556.00
2021-08-01,841.00
2021-09-01,1530.00
2021-10-01,1398.00
2021-10-01,1082.00
2021-11-01,1371.00
2021-12-01,902.00
2021-12-01,1174.00
2022-01-01,593.00
2022-01-01,1147.00
2022-03-01,2410.00
2022-04-01,1752.00
2022-04-01,1665.00
2022-05-01,1428.00
2022-06-01,1073.00
2022-07-01,1715.00
2022-07-01,1140.00
2022-08-01,1200.00
2022-09-01,1466.00
2022-09-01,1299.00
2022-10-01,1393.00
2022-11-01,1657.00
2022-12-01,2047.00
2023-01-01,1381.00
2023-02-01,1987.00
2023-02-01,2226.00
2023-03-01,2275.00
2023-04-01,1475.00
2023-05-01,1234.00
2023-06-01,827.00
2023-06-01,1272.00
2023-07-01,801.00
2023-07-01,1369.00
2023-08-01,1087.00
2023-08-01,972.00
2023-09-01,956.00
2023-10-01,1011.00
2023-10-01,1256.00
2023-11-01,1321.00
2023-12-01,1150.00
2023-12-01,1234.00
2024-01-01,1359.00
2024-02-01,1711.00
2024-03-01,573.00
2024-03-01,1860.00
2024-04-01,1035.00
2024-05-01,450.00
2024-06-01,434.00
2024-07-01,678.00
2024-07-01,522.00
2024-08-01,580.00
2024-08-01,775.00
2024-09-01,706.00
2024-10-01,777.00
2024-10-01,651.00
2024-11-01,841.00
2024-12-01,540.00
2024-12-01,445.00
2025-08-01,9.00
2025-08-01,500.00
2025-09-01,400.00
2025-09-01,200.00
2025-10-01,250.00
